Provider Name,Coverage Type,Address,City/Town,State
FRAMEL EYE CLINIC,Optical,"SHOP 8, ULTIMA SHOPPING COMPLEX, 21 ROAD OPP J CLOSE, FESTAC",Amuwo-Odofin,Lagos
Golden Cross Infirmary (Hospital & Maternity),Medical,"2nd Avenue, 22 Road, Festac Town, Lagos",Amuwo-Odofin,Lagos
Blue Lime Hospital And Maternity,Medical,"7th Avenue, I1 Close, House 2, Festac Town, Lagos.",Amuwo-Odofin ,Lagos
Emel Hospital,Medical,"Z Close, 21 Road, Festac Town",Amuwo-Odofin ,Lagos
Faith Care Hospital,Medical,"House 29, 32 Road 3rd Avenue Festac Town Lagos.",Amuwo-Odofin ,Lagos
FIRST EYE CLINIC - Festac Town,Optical,"FIFTH AVENUE, HOUSE 3 ( BETWEEN B1 AND D1 CLOSE ), FESTAC TOWN, SAME BUILDING WITH COWRIES MICRO FINANCE BANK",Amuwo-Odofin ,Lagos
Forst Eye Clinic - Festac Town,Optical,"5th Avenue, U Close, House 1, Festac Town, lagos.",Amuwo-Odofin ,Lagos
God Cures Hospital - Satellite Town,Medical,"56, Marwa Road, Satellite Town, Lagos.",Amuwo-Odofin ,Lagos
Godfrey Specialist Hospital,Medical,"Plot 3554, Kofo Kasumu Avenue, Lakeview Phase 1 Estate, ICAN Road, Amuwo-Odofin, Lagos.",Amuwo-Odofin ,Lagos
"GODSPOWER CLINIC, HOSPITAL & MATERNITY",Medical,"321 ROAD, C CLOSE, HOUSE 7, FESTAC",Amuwo-Odofin ,Lagos
"GREENLIFE HOSPITAL, AMUWO ODOFIN",Medical,"Plot 2031, Rafiu Babatunde Tinubu Way, Off Apple Junction, Amuwo-Odofin, Lagos.",Amuwo-Odofin ,Lagos
Hephzibah Eye Care - Amuwo-Odofin,Optical,"Saviour House, Opposite Startimes By Apple Junction, Along Amuwo-Odofin, Festac Link Road, Amuwo-Odofin, Lagos",Amuwo-Odofin ,Lagos
Hova's Place Eyecare & Surgery Centre,Optical,"House 8, 309 Road, 3rd Avenue, Festac Town, Lagos.",Amuwo-Odofin ,Lagos
HOVA'S PLACE HOSPITAL,Medical,"PLOT 122A, 1ST AVENUE ""P"" CLOSE OR 21 ROAD ""X"" CLOSE, FESTAC",Amuwo-Odofin ,Lagos
PANOX HOSPITAL,Medical,"Plot 920 B, Raji Rasaki Estate Road, Amuwo Odofin",Amuwo-Odofin ,Lagos
Rabboni Hospital Ltd,Medical,"3rd Avenue, D Close, House 14, Festac Town, Lagos.",Amuwo-Odofin ,Lagos
Rhowil Total Care Medical Centre,Medical,"Plot 3, Block 7, Site G, Satellite Town, Lagos.",Amuwo-Odofin ,Lagos
Shepherd Specialist Hospital - Lagos,Medical,"4th Avenue, E Close, Plot 1619, Festac Town, Lagos.",Amuwo-Odofin ,Lagos
SIRONA HOSPITAL,Medical,"Ist Avenue, N close, Hosue 9,Festac Town Lagos",Amuwo-Odofin ,Lagos
ST. JUDES HOSPITAL,Medical,"21 ROAD, B CLOSE, HOUSE 3, FESTAC TOWN",Amuwo-Odofin ,Lagos
Swift Eyecare Limited - Festac Town,Optical,"4th Avenue, A1 Close, Festac Town, Lagos",Amuwo-Odofin ,Lagos
